radio;mnc;lon;lat;created
3G;Claro;-78.492998;-0.214979;1363640570
3G;Claro;-78.487981;-0.212685;1363640570
3G;Claro;-78.488014;-0.211175;1363640570
3G;Claro;-78.482261;-0.206539;1363640570
3G;Claro;-78.482306;-0.204915;1363640570
3G;Claro;-78.482758;-0.200089;1363640570
3G;Claro;-78.487146;-0.198571;1363640570
3G;Claro;-78.483399;-0.194547;1363640570
2G;Claro;-78.48302;-0.195819;1363640570
2G;Claro;-78.488109;-0.202723;1363640570
3G;Claro;-78.495408;-0.200076;1363640570
3G;Claro;-78.497274;-0.197471;1363640570
3G;Claro;-78.50021;-0.197306;1363640570
3G;Claro;-78.500748;-0.196381;1363640570
3G;Claro;-78.507341;-0.199079;1363640570
2G;Claro;-78.502371;-0.196443;1363640570
3G;Claro;-78.502523;-0.199278;1363640570
3G;Claro;-78.498786;-0.198833;1363640570
3G;Claro;-78.498917;-0.193863;1363640570
3G;Claro;-78.499;-0.193572;1363640570
3G;Claro;-78.49649;-0.189377;1363640570
3G;Claro;-78.494938;-0.183017;1363640570
3G;Claro;-78.493764;-0.185828;1363640570
2G;Claro;-78.488433;-0.170811;1363640570
2G;Claro;-78.487324;-0.168915;1363640570
3G;Claro;-78.484004;-0.164636;1363640570
3G;Claro;-78.484268188477;-0.16410827636719;1363429749
3G;Claro;-78.471909;-0.16607;1363431687
3G;Claro;-78.45514;-0.164831;1363519320
2G;Claro;-78.454991;-0.171851;1363640570
2G;Claro;-78.447289;-0.179991;1363640575
2G;Claro;-78.446563;-0.192231;1363640575
2G;Claro;-78.455809;-0.192926;1363640575
2G;Claro;-78.453342;-0.187674;1363640575
2G;Claro;-78.456234;-0.197186;1363640575
2G;Claro;-78.462126;-0.198885;1363640575
2G;Claro;-78.465782;-0.218512;1363432627
2G;Claro;-78.460493;-0.213192;1363640575
2G;Claro;-78.449429;-0.245184;1363640575
2G;Claro;-78.473625;-0.238609;1363432665
3G;Claro;-78.468083;-0.237187;1363640576
3G;Claro;-78.485837;-0.258652;1363640576
3G;Claro;-78.488556;-0.24638;1363640576
3G;Claro;-78.487;-0.241273;1363640576
3G;Claro;-78.485472;-0.23564;1363640576
3G;Claro;-78.490273;-0.283422;1363640576
3G;Claro;-78.483009;-0.284843;1363504748
3G;Claro;-78.472426;-0.282227;1363640576
3G;Claro;-78.481718;-0.292287;1363640576
3G;Claro;-78.479849;-0.290494;1363640576
3G;Claro;-78.484894;-0.294256;1363640576
3G;Claro;-78.46829;-0.321255;1363640576
3G;Claro;-78.480666;-0.293515;1363640576
3G;Claro;-78.466057;-0.289358;1363640576
3G;Claro;-78.47827;-0.304234;1363640576
