Name,longitude,latitude,Kapasiteet
Trumpettikuja,24.869109999497,60.2391561100934,16
Viljelijäntie,24.8572979635334,60.2432334444678,16
Malminkartano railway station,24.8631156423813,60.2478178576762,20
Tuohipolku,24.8574322593556,60.2515646859168,12
Honkasuo,24.8465809743929,60.255557476007,16
Malminkartano Hill,24.8486486878388,60.2504077926351,12
Hankasuontie,24.8475860266275,60.2447437736882,16
Ajomiehentie,24.8512905063639,60.2388821009165,20
Vähäntuvantie,24.846165047021,60.2324510345281,14
Kuusisaari,24.8567965996401,60.1845083389847,16
Koivusaari metro station,24.8551642686834,60.1633863116225,16
Välimerenkatu,24.9101421129463,60.1549042600429,16
Verkkosaari,24.9775480765957,60.1895561753156,20
Sompasaari,24.9760758238593,60.1829308185667,14
Jollas,25.0616678668253,60.1644074899774,16
